
2024/04/20 (22:32:35) | ===> btop++ v.1.3.2
2024/04/20 (22:32:35) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/08 (09:27:45) | ===> btop++ v.1.4.0
2024/12/08 (09:27:45) | ERROR: Stall in Runner thread, restarting!

2025/01/14 (12:14:38) | ===> btop++ v.1.4.0
2025/01/14 (12:14:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (12:02:55) | ===> btop++ v.1.4.0
2025/01/17 (12:02:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (09:09:43) | ===> btop++ v.1.4.0
2025/01/20 (09:09:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (11:58:09) | ===> btop++ v.1.4.0
2025/01/20 (11:58:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (12:12:50) | ===> btop++ v.1.4.0
2025/01/20 (12:12:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (12:13:43) | ===> btop++ v.1.4.0
2025/01/20 (12:13:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (12:17:25) | ===> btop++ v.1.4.0
2025/01/20 (12:17:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (12:19:08) | ===> btop++ v.1.4.0
2025/01/20 (12:19:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (11:37:20) | ===> btop++ v.1.4.0
2025/01/23 (11:37:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (11:49:24) | ===> btop++ v.1.4.0
2025/01/23 (11:49:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:18:07) | ===> btop++ v.1.4.0
2025/01/24 (16:18:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:52:02) | ===> btop++ v.1.4.0
2025/01/24 (16:52:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:52:26) | ===> btop++ v.1.4.0
2025/01/24 (16:52:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:53:17) | ===> btop++ v.1.4.0
2025/01/24 (16:53:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:53:36) | ===> btop++ v.1.4.0
2025/01/24 (16:53:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (16:55:46) | ===> btop++ v.1.4.0
2025/01/24 (16:55:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (09:11:17) | ===> btop++ v.1.4.0
2025/01/31 (09:11:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (15:58:59) | ===> btop++ v.1.4.0
2025/01/31 (15:58:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (16:02:01) | ===> btop++ v.1.4.0
2025/01/31 (16:02:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (16:02:10) | ===> btop++ v.1.4.0
2025/01/31 (16:02:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (10:24:28) | ===> btop++ v.1.4.0
2025/02/03 (10:24:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (12:02:24) | ===> btop++ v.1.4.0
2025/02/03 (12:02:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (14:10:15) | ===> btop++ v.1.4.0
2025/02/03 (14:10:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (11:26:04) | ===> btop++ v.1.4.0
2025/02/05 (11:26:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (11:26:16) | ===> btop++ v.1.4.0
2025/02/05 (11:26:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (15:18:33) | ===> btop++ v.1.4.0
2025/02/10 (15:18:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (11:00:12) | ===> btop++ v.1.4.0
2025/02/11 (11:00:12) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/11 (11:00:16) | WARNING: Failed to join _runner thread on exit!

2025/02/11 (11:35:13) | ===> btop++ v.1.4.0
2025/02/11 (11:35:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (11:35:44) | ===> btop++ v.1.4.0
2025/02/11 (11:35:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (11:36:36) | ===> btop++ v.1.4.0
2025/02/11 (11:36:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (11:36:43) | ===> btop++ v.1.4.0
2025/02/11 (11:36:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (11:40:26) | ===> btop++ v.1.4.0
2025/02/11 (11:40:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (13:48:42) | ===> btop++ v.1.4.0
2025/02/11 (13:48:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (11:32:49) | ===> btop++ v.1.4.0
2025/02/12 (11:32:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (16:53:21) | ===> btop++ v.1.4.0
2025/02/14 (16:53:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (10:56:40) | ===> btop++ v.1.4.0
2025/02/17 (10:56:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (11:16:44) | ===> btop++ v.1.4.0
2025/02/24 (11:16:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (13:17:30) | ===> btop++ v.1.4.0
2025/02/25 (13:17:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (13:50:44) | ===> btop++ v.1.4.0
2025/02/25 (13:50:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (13:50:58) | ===> btop++ v.1.4.0
2025/02/25 (13:50:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (13:51:24) | ===> btop++ v.1.4.0
2025/02/25 (13:51:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (13:52:06) | ===> btop++ v.1.4.0
2025/02/25 (13:52:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (15:53:03) | ===> btop++ v.1.4.0
2025/02/25 (15:53:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (15:55:46) | ===> btop++ v.1.4.0
2025/02/25 (15:55:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (16:46:28) | ===> btop++ v.1.4.0
2025/02/25 (16:46:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (16:47:14) | ===> btop++ v.1.4.0
2025/02/25 (16:47:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (13:59:55) | ===> btop++ v.1.4.0
2025/03/11 (13:59:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (14:04:13) | ===> btop++ v.1.4.0
2025/03/11 (14:04:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (14:06:22) | ===> btop++ v.1.4.0
2025/03/11 (14:06:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (14:18:47) | ===> btop++ v.1.4.0
2025/03/11 (14:18:47) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/03/11 (16:54:32) | ===> btop++ v.1.4.0
2025/03/11 (16:54:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (10:52:01) | ===> btop++ v.1.4.0
2025/03/12 (10:52:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (09:24:20) | ===> btop++ v.1.4.0
2025/03/13 (09:24:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (09:25:44) | ===> btop++ v.1.4.0
2025/03/13 (09:25:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (09:47:45) | ===> btop++ v.1.4.0
2025/03/13 (09:47:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (11:24:57) | ===> btop++ v.1.4.0
2025/03/13 (11:24:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (14:37:47) | ===> btop++ v.1.4.0
2025/03/13 (14:37:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (16:14:20) | ===> btop++ v.1.4.0
2025/03/14 (16:14:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (09:41:49) | ===> btop++ v.1.4.0
2025/03/24 (09:41:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/24 (09:41:53) | WARNING: Failed to join _runner thread on exit!

2025/03/24 (09:42:23) | ===> btop++ v.1.4.0
2025/03/24 (09:42:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (14:07:19) | ===> btop++ v.1.4.0
2025/03/28 (14:07:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (13:27:21) | ===> btop++ v.1.4.0
2025/04/07 (13:27:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (10:10:54) | ===> btop++ v.1.4.0
2025/04/14 (10:10:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (16:20:27) | ===> btop++ v.1.4.0
2025/04/14 (16:20:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (16:51:10) | ===> btop++ v.1.4.0
2025/04/14 (16:51:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (16:53:25) | ===> btop++ v.1.4.0
2025/04/14 (16:53:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (16:53:40) | ===> btop++ v.1.4.0
2025/04/14 (16:53:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (12:16:07) | ===> btop++ v.1.4.0
